iter	Passed	Remaining
0	30	15100
1	63	15824
2	97	16097
3	126	15693
4	159	15772
5	186	15394
6	215	15152
7	243	14951
8	267	14610
9	293	14403
10	321	14308
11	345	14068
12	373	13999
13	399	13861
14	424	13730
15	447	13547
16	471	13407
17	496	13289
18	518	13128
19	540	12979
20	562	12835
21	584	12693
22	605	12554
23	627	12442
24	648	12327
25	672	12266
26	694	12160
27	715	12057
28	736	11969
29	760	11907
30	781	11828
31	806	11795
32	826	11697
33	847	11619
34	869	11550
35	888	11458
36	909	11380
37	929	11304
38	951	11251
39	971	11176
40	992	11106
41	1011	11030
42	1030	10947
43	1048	10871
44	1068	10800
45	1087	10730
46	1106	10666
47	1126	10611
48	1146	10555
49	1166	10500
50	1185	10438
51	1204	10379
52	1223	10318
53	1241	10251
54	1261	10209
55	1279	10143
56	1296	10079
57	1315	10021
58	1334	9971
59	1352	9921
60	1369	9853
61	1387	9802
62	1405	9748
63	1422	9693
64	1440	9642
65	1460	9601
66	1478	9554
67	1496	9505
68	1514	9457
69	1531	9410
70	1550	9366
71	1567	9317
72	1585	9276
73	1603	9231
74	1619	9179
75	1637	9135
76	1652	9078
77	1670	9035
78	1687	8993
79	1705	8953
80	1722	8911
81	1740	8870
82	1757	8831
83	1774	8788
84	1791	8745
85	1807	8702
86	1825	8667
87	1843	8630
88	1859	8588
89	1876	8547
90	1894	8516
91	1911	8475
92	1928	8440
93	1944	8399
94	1961	8361
95	1977	8323
96	1993	8281
97	2009	8242
98	2025	8205
99	2042	8169
100	2059	8137
101	2077	8104
102	2094	8074
103	2111	8038
104	2129	8009
105	2146	7977
106	2163	7945
107	2180	7914
108	2197	7881
109	2212	7845
110	2229	7812
111	2246	7781
112	2262	7748
113	2279	7719
114	2296	7688
115	2312	7655
116	2330	7627
117	2347	7598
118	2363	7566
119	2380	7539
120	2397	7508
121	2413	7478
122	2428	7444
123	2445	7415
124	2462	7388
125	2479	7359
126	2495	7329
127	2511	7298
128	2527	7269
129	2544	7241
130	2560	7212
131	2577	7185
132	2593	7157
133	2612	7135
134	2628	7107
135	2644	7078
136	2661	7051
137	2678	7025
138	2694	6998
139	2710	6970
140	2727	6944
141	2745	6922
142	2762	6895
143	2778	6870
144	2795	6844
145	2812	6819
146	2829	6793
147	2845	6766
148	2861	6741
149	2878	6717
150	2896	6695
151	2912	6668
152	2929	6643
153	2945	6618
154	2961	6591
155	2976	6564
156	2993	6539
157	3010	6516
158	3028	6495
159	3045	6470
160	3061	6446
161	3077	6421
162	3095	6400
163	3113	6378
164	3130	6355
165	3145	6329
166	3163	6308
167	3180	6285
168	3197	6262
169	3215	6241
170	3232	6218
171	3249	6196
172	3266	6174
173	3282	6149
174	3298	6125
175	3315	6104
176	3331	6079
177	3348	6057
178	3365	6035
179	3382	6012
180	3399	5992
181	3416	5970
182	3433	5948
183	3450	5925
184	3467	5904
185	3485	5883
186	3500	5859
187	3517	5837
188	3534	5816
189	3552	5795
190	3568	5773
191	3584	5750
192	3601	5728
193	3618	5707
194	3634	5684
195	3651	5663
196	3668	5641
197	3684	5619
198	3701	5598
199	3717	5576
200	3733	5553
201	3750	5533
202	3767	5512
203	3783	5490
204	3799	5467
205	3816	5447
206	3834	5426
207	3849	5404
208	3864	5380
209	3866	5339
210	3881	5316
211	3898	5295
212	3915	5275
213	3931	5254
214	3947	5233
215	3964	5212
216	3980	5191
217	3996	5170
218	4013	5149
219	4029	5128
220	4045	5107
221	4062	5087
222	4078	5065
223	4093	5044
224	4110	5023
225	4127	5004
226	4144	4983
227	4159	4962
228	4176	4942
229	4193	4922
230	4209	4901
231	4226	4882
232	4242	4861
233	4259	4842
234	4276	4822
235	4293	4802
236	4311	4784
237	4328	4765
238	4345	4745
239	4362	4726
240	4378	4705
241	4395	4685
242	4411	4665
243	4427	4644
244	4442	4624
245	4458	4603
246	4474	4583
247	4491	4563
248	4507	4543
249	4524	4524
250	4541	4505
251	4557	4484
252	4573	4465
253	4589	4444
254	4605	4425
255	4621	4405
256	4638	4385
257	4655	4366
258	4672	4347
259	4689	4328
260	4705	4309
261	4722	4289
262	4739	4271
263	4756	4252
264	4773	4232
265	4789	4213
266	4806	4194
267	4822	4174
268	4837	4154
269	4853	4134
270	4868	4114
271	4885	4095
272	4901	4075
273	4916	4055
274	4933	4036
275	4949	4017
276	4965	3997
277	4983	3979
278	5000	3960
279	5016	3941
280	5033	3923
281	5049	3903
282	5066	3885
283	5082	3865
284	5100	3847
285	5116	3828
286	5132	3809
287	5149	3790
288	5165	3771
289	5183	3753
290	5199	3734
291	5217	3716
292	5234	3697
293	5251	3679
294	5268	3661
295	5284	3641
296	5301	3623
297	5319	3605
298	5337	3587
299	5354	3569
300	5371	3551
301	5388	3533
302	5404	3513
303	5421	3495
304	5438	3477
305	5456	3459
306	5472	3440
307	5489	3422
308	5506	3403
309	5523	3385
310	5540	3367
311	5557	3348
312	5574	3330
313	5590	3311
314	5606	3292
315	5623	3274
316	5640	3256
317	5656	3237
318	5672	3218
319	5688	3199
320	5705	3181
321	5721	3163
322	5738	3144
323	5754	3125
324	5769	3106
325	5786	3088
326	5802	3069
327	5819	3051
328	5836	3033
329	5853	3015
330	5870	2997
331	5886	2978
332	5902	2960
333	5919	2941
334	5934	2923
335	5950	2904
336	5967	2886
337	5984	2868
338	6000	2849
339	6016	2831
340	6033	2813
341	6050	2795
342	6066	2776
343	6082	2758
344	6100	2740
345	6117	2722
346	6134	2704
347	6151	2687
348	6168	2668
349	6185	2650
350	6202	2632
351	6218	2614
352	6235	2596
353	6252	2578
354	6269	2560
355	6287	2543
356	6305	2525
357	6322	2507
358	6339	2489
359	6357	2472
360	6375	2454
361	6393	2437
362	6412	2420
363	6429	2402
364	6447	2384
365	6464	2366
366	6483	2349
367	6500	2331
368	6518	2314
369	6536	2296
370	6553	2278
371	6569	2260
372	6586	2242
373	6604	2224
374	6621	2207
375	6638	2189
376	6655	2171
377	6672	2153
378	6689	2135
379	6706	2117
380	6721	2099
381	6737	2081
382	6754	2063
383	6770	2045
384	6787	2027
385	6803	2009
386	6820	1991
387	6837	1973
388	6854	1955
389	6870	1937
390	6886	1919
391	6903	1901
392	6919	1884
393	6936	1866
394	6951	1847
395	6967	1829
396	6983	1811
397	6999	1793
398	7016	1776
399	7033	1758
400	7049	1740
401	7065	1722
402	7081	1704
403	7099	1686
404	7116	1669
405	7132	1651
406	7148	1633
407	7164	1615
408	7181	1597
409	7197	1580
410	7213	1562
411	7230	1544
412	7247	1526
413	7263	1508
414	7279	1490
